season,holiday,workingday,weather,temp,humidity,windspeed,count,hour,weekday
1,0,0,1,1.64,57,7.0015,33.0,23,5
1,0,0,1,1.64,57,7.0015,22.0,00,6
1,0,0,1,1.64,57,7.0015,25.0,01,6
1,0,0,1,0.82,62,8.9981,13.0,02,6
1,0,0,1,0.82,62,8.9981,20.0,03,6
1,0,0,2,1.64,57,7.0015,2.0,05,6
1,0,0,2,1.64,57,7.0015,12.0,06,6
1,0,0,1,3.28,58,11.0014,9.0,07,6
1,0,0,1,2.46,62,11.0014,79.0,08,6
1,0,0,1,4.1,54,23.9994,97.0,09,6
1,0,0,1,5.74,46,26.0027,50.0,10,6
1,0,0,1,5.74,43,15.0013,125.0,11,6
1,0,0,1,6.56,37,31.0009,139.0,12,6
1,0,0,1,5.74,33,26.0027,139.0,13,6
1,0,0,1,6.56,28,23.9994,112.0,14,6
1,0,0,1,6.56,28,23.9994,112.0,15,6
1,0,0,1,6.56,26,22.0028,56.0,16,6
1,0,0,1,5.74,26,26.0027,63.0,17,6
1,0,0,1,4.92,30,16.9979,121.0,18,6
1,0,0,1,4.92,30,19.0012,31.0,19,6
1,0,0,1,4.1,36,16.9979,29.0,20,6
1,0,0,1,4.1,36,12.998,73.0,21,6
1,0,0,1,3.28,38,12.998,52.0,22,6
1,0,0,1,2.46,41,15.0013,19.0,23,6
1,0,1,1,2.46,41,12.998,9.0,00,0
1,0,1,1,1.64,45,12.998,7.0,01,0
1,0,1,1,1.64,45,16.9979,3.0,03,0
1,0,1,1,0.82,48,8.9981,3.0,04,0
1,0,1,1,0.82,48,8.9981,8.0,05,0
1,0,1,1,0.82,48,6.0032,60.0,06,0
1,0,1,1,4.1,46,8.9981,91.0,11,0
1,0,1,2,4.92,42,12.998,85.0,12,0
1,0,1,2,5.74,43,15.0013,92.0,13,0
1,0,1,2,5.74,46,15.0013,76.0,14,0
1,0,1,1,6.56,40,11.0014,78.0,15,0
1,0,1,1,6.56,47,16.9979,132.0,16,0
1,0,1,1,5.74,50,16.9979,153.0,17,0
1,0,1,1,5.74,59,12.998,148.0,18,0
1,0,1,1,5.74,54,11.0014,96.0,19,0
1,0,1,1,5.74,59,12.998,75.0,20,0
1,0,1,1,5.74,63,11.0014,39.0,21,0
1,0,1,2,5.74,63,15.0013,25.0,22,0
1,0,1,2,6.56,64,16.9979,19.0,23,0
1,0,1,2,6.56,69,19.0012,6.0,00,1
1,0,1,2,6.56,69,11.0014,4.0,01,1
1,0,1,1,6.56,69,15.0013,3.0,02,1
1,0,1,1,5.74,74,7.0015,3.0,04,1
1,0,1,1,5.74,74,15.0013,4.0,05,1
1,0,1,1,6.56,74,7.0015,37.0,06,1
1,0,1,1,6.56,74,15.0013,92.0,07,1
1,0,1,2,6.56,74,8.9981,445.0,08,1
1,0,1,2,8.2,64,6.0032,278.0,09,1
1,0,1,2,9.02,60,7.0015,55.0,10,1
1,0,1,2,9.84,60,8.9981,87.0,11,1
1,0,1,2,10.66,56,6.0032,89.0,12,1
1,0,1,2,10.66,56,8.9981,81.0,13,1
1,0,1,2,12.3,49,6.0032,176.0,18,1
1,0,1,2,10.66,65,11.0014,120.0,19,1
1,0,1,1,9.84,65,12.998,55.0,20,1
1,0,1,1,9.84,65,12.998,166.0,21,1
1,0,1,1,9.02,64,11.0014,36.0,22,1
1,0,1,2,9.02,64,11.0014,21.0,23,1
1,0,1,2,9.02,69,8.9981,9.0,00,2
1,0,1,2,9.84,65,8.9981,13.0,01,2
1,0,1,3,9.02,69,12.998,3.0,02,2
1,0,1,3,8.2,86,19.0012,6.0,05,2
1,0,1,3,8.2,86,19.0012,19.0,06,2
1,0,1,3,9.02,87,19.9995,50.0,07,2
1,0,1,3,9.02,87,19.9995,156.0,08,2
1,0,1,3,9.02,87,19.9995,125.0,09,2
1,0,1,3,9.02,93,19.0012,4.0,10,2
1,0,1,3,9.02,93,22.0028,4.0,11,2
1,0,1,3,9.02,93,22.0028,4.0,12,2
1,0,1,3,9.02,93,22.0028,4.0,13,2
1,0,1,3,9.02,93,23.9994,4.0,14,2
1,0,1,3,9.02,93,31.0009,4.0,15,2
1,0,1,4,9.02,93,22.0028,4.0,16,2
1,0,1,3,8.2,93,23.9994,96.0,17,2
1,0,1,1,9.02,55,12.998,69.0,16,3
1,0,1,1,9.02,55,7.0015,173.0,17,3
1,0,1,1,8.2,69,6.0032,124.0,18,3
1,0,1,1,8.2,69,6.0032,113.0,19,3
1,0,1,1,7.38,74,6.0032,69.0,20,3
1,0,1,1,7.38,74,6.0032,55.0,21,3
1,0,1,1,7.38,74,6.0032,43.0,22,3
1,0,1,1,7.38,80,11.0014,36.0,23,3
1,0,1,2,8.2,75,8.9981,18.0,00,4
1,0,1,2,8.2,75,8.9981,9.0,01,4
1,0,1,2,8.2,75,11.0014,2.0,02,4
1,0,1,2,8.2,75,7.0015,2.0,03,4
1,0,1,2,7.38,80,7.0015,18.0,05,4
1,0,1,2,7.38,80,8.9981,79.0,06,4
1,0,1,2,6.56,86,6.0032,207.0,07,4
1,0,1,2,6.56,86,6.0032,221.0,08,4
1,0,1,3,7.38,86,6.0032,278.0,09,4
1,0,1,3,7.38,86,7.0015,84.0,10,4
1,0,1,3,7.38,93,7.0015,84.0,11,4
1,0,1,3,7.38,93,7.0015,84.0,12,4
1,0,1,3,7.38,93,7.0015,84.0,13,4
1,0,1,1,9.84,75,8.9981,173.0,17,4
1,0,1,1,9.84,75,12.998,134.0,18,4
1,0,1,2,9.84,75,8.9981,104.0,19,4
1,0,1,2,9.84,70,12.998,124.0,20,4
1,0,1,2,9.02,75,8.9981,49.0,21,4
1,0,1,1,9.84,65,23.9994,91.0,22,4
1,0,1,1,9.84,60,15.0013,38.0,23,4
1,0,0,1,9.02,64,23.9994,40.0,00,5
1,0,0,1,9.02,64,12.998,19.0,01,5
1,0,0,1,9.02,64,11.0014,15.0,02,5
1,0,0,1,8.2,64,8.9981,13.0,03,5
1,0,0,1,6.56,69,7.0015,23.0,04,5
1,0,0,1,6.56,64,8.9981,4.0,06,5
1,0,0,1,6.56,59,7.0015,14.0,07,5
1,0,0,1,7.38,55,11.0014,79.0,08,5
1,0,0,1,7.38,59,6.0032,91.0,09,5
1,0,0,2,7.38,64,7.0015,62.0,10,5
1,0,0,2,7.38,64,8.9981,62.0,11,5
1,0,0,2,8.2,59,12.998,72.0,12,5
1,0,0,2,9.02,55,11.0014,72.0,13,5
1,0,0,2,9.02,60,8.9981,184.0,14,5
1,0,0,1,9.02,69,16.9979,72.0,15,5
1,0,0,1,9.84,60,11.0014,72.0,16,5
1,0,0,1,9.02,69,8.9981,225.0,18,5
1,0,0,2,9.02,69,16.9979,78.0,19,5
1,0,0,1,7.38,74,6.0032,62.0,20,5
1,0,0,1,7.38,74,6.0032,55.0,21,5
1,0,0,1,6.56,80,6.0032,44.0,22,5
1,0,0,1,6.56,80,6.0032,36.0,23,5
1,0,0,1,6.56,80,7.0015,31.0,00,6
1,0,0,1,12.3,52,7.0015,301.0,12,6
1,0,0,1,11.48,61,7.0015,301.0,13,6
1,0,0,1,11.48,61,6.0032,301.0,14,6
1,0,0,1,12.3,56,12.998,297.0,17,6
1,0,0,1,10.66,65,11.0014,66.0,18,6
1,0,0,1,10.66,65,12.998,51.0,19,6
1,0,0,2,10.66,65,7.0015,27.0,20,6
1,0,0,2,9.84,70,11.0014,37.0,21,6
1,0,0,2,9.84,70,12.998,37.0,22,6
1,0,0,2,9.84,65,19.0012,31.0,23,6
1,0,1,2,9.84,65,15.0013,15.0,00,0
1,0,1,1,9.02,64,16.9979,2.0,01,0
1,0,1,1,9.02,64,12.998,4.0,02,0
1,0,1,1,9.02,64,12.998,2.0,03,0
1,0,1,1,8.2,59,15.0013,6.0,04,0
1,0,1,1,7.38,64,19.0012,2.0,05,0
1,0,1,1,6.56,69,22.0028,86.0,06,0
1,0,1,2,6.56,64,19.0012,108.0,07,0
1,0,1,2,6.56,59,19.0012,355.0,08,0
1,0,1,2,6.56,59,19.9995,154.0,09,0
1,0,1,2,6.56,59,12.998,31.0,10,0
1,0,1,2,6.56,59,12.998,31.0,11,0
1,0,1,2,7.38,55,7.0015,85.0,12,0
1,0,1,2,7.38,55,8.9981,76.0,14,0
1,0,1,2,6.56,59,8.9981,76.0,15,0
1,0,1,2,6.56,56,12.998,132.0,16,0
1,0,1,2,6.56,59,12.998,282.0,17,0
1,0,1,2,6.56,55,15.0013,156.0,18,0
1,0,1,1,12.3,61,7.0015,120.0,19,0
1,0,1,3,6.56,59,11.0014,133.0,20,0
1,0,1,3,6.56,59,6.0032,21.0,21,0
1,0,1,2,6.56,59,7.0015,63.0,22,0
1,0,1,2,6.56,64,6.0032,19.0,23,0
1,0,0,1,10.66,35,30.0026,45.0,00,6
1,0,0,1,9.84,41,31.0009,13.0,01,6
1,0,0,1,9.84,41,36.9974,43.0,02,6
1,0,0,1,9.02,44,36.9974,5.0,03,6
1,0,0,1,9.02,44,36.9974,4.0,04,6
1,0,0,1,8.2,47,19.9995,6.0,06,6
1,0,0,1,7.38,51,16.9979,15.0,07,6
1,0,0,1,8.2,51,7.0015,24.0,08,6
1,0,0,1,9.02,47,19.0012,80.0,09,6
1,0,0,2,10.66,41,12.998,106.0,10,6
1,0,0,2,12.3,33,11.0014,130.0,11,6
1,0,0,1,12.3,33,7.0015,301.0,12,6
1,0,0,1,14.76,27,11.0014,380.0,14,6
1,0,0,1,14.76,27,6.0032,407.0,15,6
1,0,0,1,14.76,29,6.0032,213.0,16,6
1,0,0,1,13.94,33,11.0014,213.0,17,6
1,0,0,2,13.94,36,8.9981,168.0,18,6
1,0,0,2,13.94,36,8.9981,185.0,19,6
1,0,0,2,13.12,57,15.0013,27.0,22,6
1,0,0,2,12.3,61,11.0014,29.0,23,6
1,1,0,2,13.94,42,22.0028,75.0,00,0
1,1,0,2,13.94,42,22.0028,52.0,01,0
1,1,0,2,13.94,42,22.0028,4.0,02,0
1,1,0,2,13.94,42,19.9995,3.0,03,0
1,1,0,1,13.12,45,11.0014,5.0,04,0
1,1,0,2,17.22,26,19.9995,31.0,06,0
1,1,0,2,17.22,26,19.0012,2.0,07,0
1,1,0,2,13.12,57,19.9995,567.0,08,0
1,1,0,2,13.12,57,19.0012,141.0,09,0
1,1,0,2,13.12,57,16.9979,90.0,10,0
1,1,0,2,13.12,57,7.0015,287.0,11,0
1,1,0,2,13.12,66,12.998,271.0,12,0
1,1,0,3,12.3,81,22.0028,185.0,13,0
1,1,0,2,13.12,76,16.9979,57.0,14,0
1,1,0,2,12.3,70,30.0026,125.0,15,0
1,1,0,3,11.48,75,27.9993,137.0,16,0
1,1,0,2,11.48,75,26.0027,195.0,17,0
1,1,0,2,9.84,87,23.9994,186.0,18,0
1,1,0,2,9.84,87,23.9994,186.0,19,0
1,1,0,3,9.84,81,26.0027,186.0,20,0
1,1,0,3,9.02,75,30.0026,28.0,21,0
1,1,0,3,8.2,75,27.9993,28.0,22,0
1,1,0,3,8.2,75,27.9993,5.0,23,0
1,0,1,2,4.92,80,19.0012,28.0,06,1
1,0,1,2,4.92,80,19.0012,171.0,07,1
1,0,1,2,4.92,80,16.9979,355.0,08,1
1,0,1,2,5.74,74,16.9979,95.0,09,1
1,0,1,1,8.2,59,7.0015,58.0,12,1
1,0,1,1,9.02,55,11.0014,50.0,13,1
1,0,1,1,9.02,55,12.998,64.0,14,1
1,0,1,1,9.84,48,12.998,98.0,15,1
1,0,1,1,9.02,51,11.0014,75.0,16,1
1,0,1,1,9.02,51,15.0013,140.0,17,1
1,0,1,1,9.02,47,8.9981,164.0,18,1
1,0,1,1,8.2,47,19.0012,97.0,19,1
1,0,1,1,8.2,47,15.0013,53.0,20,1
1,0,1,1,8.2,47,16.9979,44.0,21,1
1,0,1,1,6.56,43,16.9979,37.0,22,1
1,0,1,1,6.56,43,16.9979,35.0,23,1
1,0,1,1,5.74,50,12.998,13.0,00,2
1,0,1,1,5.74,46,11.0014,6.0,01,2
1,0,1,1,4.92,50,8.9981,4.0,02,2
1,0,1,1,4.92,50,11.0014,2.0,03,2
1,0,1,1,4.92,50,7.0015,7.0,05,2
1,0,1,1,4.92,50,7.0015,60.0,06,2
1,0,1,1,4.92,54,8.9981,55.0,07,2
1,0,1,1,5.74,54,11.0014,180.0,08,2
1,0,1,1,7.38,51,6.0032,278.0,09,2
1,0,1,1,9.84,41,7.0015,87.0,11,2
1,0,1,1,10.66,35,6.0032,80.0,12,2
1,0,1,1,12.3,28,6.0032,72.0,13,2
1,0,1,1,13.12,29,7.0015,63.0,14,2
1,0,1,1,13.94,25,6.0032,63.0,15,2
1,0,1,1,13.94,25,6.0032,249.0,17,2
1,0,1,1,13.12,26,6.0032,207.0,18,2
1,0,1,1,9.84,60,11.0014,70.0,20,2
1,0,1,1,9.02,55,6.0032,21.0,23,2
1,0,1,1,9.02,55,6.0032,15.0,00,3
1,0,1,1,9.02,60,6.0032,6.0,01,3
1,0,1,1,8.2,64,6.0032,3.0,02,3
1,0,1,1,8.2,64,8.9981,5.0,03,3
1,0,1,1,8.2,69,8.9981,23.0,05,3
1,0,1,1,8.2,69,12.998,65.0,06,3
1,0,1,1,8.2,72,12.998,268.0,07,3
1,0,1,1,9.84,70,15.0013,442.0,08,3
1,0,1,2,9.84,75,19.9995,125.0,09,3
1,0,1,2,10.66,70,19.0012,120.0,10,3
1,0,1,2,13.12,57,26.0027,120.0,11,3
1,0,1,2,14.76,53,23.9994,145.0,12,3
1,0,1,2,15.58,54,19.9995,224.0,13,3
1,0,1,2,16.4,50,19.9995,167.0,14,3
1,0,1,3,16.4,54,26.0027,51.0,15,3
1,0,1,3,15.58,62,19.0012,51.0,16,3
1,0,1,3,14.76,66,12.998,135.0,17,3
1,0,1,2,13.94,87,22.0028,188.0,18,3
1,0,1,3,13.94,93,19.9995,32.0,19,3
1,0,1,2,13.94,93,23.9994,41.0,20,3
1,0,1,2,13.94,87,22.0028,63.0,21,3
1,0,1,3,13.94,87,19.0012,30.0,22,3
1,0,1,2,13.12,93,15.0013,61.0,23,3
1,0,1,2,13.12,93,7.0015,2.0,03,4
1,0,1,2,13.12,93,7.0015,17.0,05,4
1,0,1,3,13.94,93,6.0032,88.0,06,4
1,0,1,3,13.94,100,8.9981,521.0,07,4
1,0,1,3,14.76,93,8.9981,254.0,08,4
1,0,1,3,13.94,93,23.9994,41.0,09,4
1,0,1,3,17.22,94,22.0028,229.0,10,4
1,0,1,1,21.32,77,30.0026,139.0,11,4
1,0,1,3,22.14,60,31.0009,266.0,12,4
1,0,1,3,22.14,60,31.0009,266.0,13,4
1,0,1,3,22.96,56,40.9973,172.0,14,4
1,0,1,1,18.86,41,54.002,179.0,15,4
1,0,1,1,13.12,49,31.0009,114.0,16,4
1,0,1,1,13.12,49,50.0021,191.0,17,4
1,0,1,1,13.12,49,32.9975,154.0,18,4
1,0,1,1,12.3,52,30.0026,119.0,19,4
1,0,1,1,12.3,49,40.9973,78.0,20,4
1,0,1,1,11.48,48,26.0027,122.0,21,4
1,0,1,1,10.66,48,30.0026,91.0,22,4
1,0,1,1,10.66,48,22.0028,57.0,23,4
1,0,0,1,9.84,52,12.998,51.0,00,5
1,0,0,1,9.84,52,19.9995,51.0,01,5
1,0,0,1,9.02,60,23.9994,21.0,02,5
1,0,0,1,9.02,55,8.9981,21.0,03,5
1,0,0,2,9.02,60,6.0032,23.0,04,5
1,0,0,2,9.02,64,7.0015,3.0,05,5
1,0,0,1,9.02,60,6.0032,42.0,07,5
1,0,0,2,10.66,56,11.0014,46.0,09,5
1,0,0,2,12.3,49,8.9981,193.0,10,5
1,0,0,2,13.12,45,11.0014,370.0,12,5
1,0,0,2,13.94,42,16.9979,256.0,13,5
1,0,0,2,13.94,36,22.0028,227.0,14,5
1,0,0,2,14.76,40,19.0012,158.0,15,5
1,0,0,1,14.76,46,19.0012,129.0,16,5
1,0,0,1,14.76,43,15.0013,129.0,17,5
1,0,0,1,13.94,46,12.998,85.0,18,5
1,0,0,1,13.12,49,16.9979,70.0,19,5
1,0,0,1,12.3,56,11.0014,70.0,20,5
1,0,0,1,11.48,65,16.9979,92.0,21,5
1,0,0,1,11.48,75,15.0013,92.0,22,5
1,0,0,1,11.48,75,19.0012,54.0,23,5
1,0,0,1,10.66,87,19.0012,40.0,00,6
1,0,0,1,10.66,87,12.998,46.0,01,6
1,0,0,1,10.66,87,8.9981,27.0,02,6
1,0,0,1,10.66,87,6.0032,16.0,03,6
1,0,0,1,9.84,87,8.9981,10.0,04,6
1,0,0,1,9.84,87,8.9981,17.0,07,6
1,0,0,1,11.48,87,6.0032,15.0,09,6
1,0,0,1,12.3,81,11.0014,71.0,10,6
1,0,0,1,14.76,62,8.9981,76.0,11,6
1,0,0,1,16.4,54,6.0032,202.0,12,6
1,0,0,1,18.04,47,6.0032,446.0,14,6
1,0,0,1,18.86,44,8.9981,446.0,15,6
1,0,0,1,19.68,44,11.0014,257.0,16,6
1,0,0,1,17.22,54,12.998,216.0,17,6
1,0,0,1,16.4,54,12.998,148.0,18,6
1,0,0,1,16.4,54,8.9981,113.0,19,6
1,0,0,1,16.4,54,6.0032,199.0,20,6
1,0,0,1,15.58,62,11.0014,135.0,21,6
1,0,0,2,15.58,62,7.0015,37.0,22,6
1,0,0,2,14.76,62,11.0014,29.0,23,6
1,0,1,2,14.76,66,7.0015,12.0,00,0
1,0,1,3,13.94,87,23.9994,3.0,01,0
1,0,1,3,13.12,93,11.0014,2.0,03,0
1,0,1,2,13.94,96,7.0015,89.0,06,0
1,0,1,2,14.76,93,7.0015,254.0,07,0
1,0,1,2,13.94,93,19.9995,32.0,08,0
1,0,1,1,17.22,82,19.0012,282.0,09,0
1,0,1,2,21.32,72,32.9975,139.0,10,0
1,0,1,2,22.96,64,19.9995,283.0,11,0
1,0,1,2,22.96,64,19.9995,283.0,12,0
1,0,1,3,18.86,94,15.0013,135.0,13,0
1,0,1,3,17.22,100,19.9995,221.0,14,0
1,0,1,3,17.22,100,19.9995,221.0,15,0
1,0,1,3,17.22,100,8.9981,303.0,16,0
1,0,1,3,16.4,100,19.9995,303.0,17,0
1,0,1,3,18.86,94,12.998,240.0,18,0
1,0,1,3,18.04,88,40.9973,303.0,19,0
1,0,1,3,18.04,88,40.9973,303.0,20,0
1,0,1,2,15.58,87,26.0027,139.0,21,0
1,0,1,3,13.94,93,27.9993,30.0,22,0
1,0,1,2,13.12,81,26.0027,19.0,23,0
1,0,0,1,13.94,49,27.9993,45.0,00,6
1,0,0,1,13.12,53,23.9994,73.0,01,6
1,0,0,1,12.3,52,19.0012,68.0,02,6
1,0,0,1,11.48,56,16.9979,17.0,03,6
1,0,0,1,10.66,56,15.0013,2.0,04,6
1,0,0,1,10.66,60,12.998,2.0,05,6
1,0,0,1,10.66,60,15.0013,2.0,06,6
1,0,0,1,9.84,60,15.0013,9.0,07,6
1,0,0,1,11.48,56,11.0014,67.0,08,6
1,0,0,1,12.3,52,8.9981,126.0,09,6
1,0,0,1,13.94,39,7.0015,76.0,11,6
1,0,0,1,14.76,40,7.0015,76.0,12,6
1,0,0,1,16.4,32,6.0032,329.0,15,6
1,0,0,1,16.4,35,19.0012,315.0,17,6
1,0,0,1,15.58,40,23.9994,180.0,18,6
1,0,0,1,14.76,43,19.0012,31.0,19,6
1,0,0,1,14.76,46,19.0012,102.0,20,6
1,0,0,2,13.94,53,19.0012,10.0,21,6
1,0,0,2,13.94,53,22.0028,38.0,22,6
1,0,0,3,13.94,61,26.0027,29.0,23,6
2,0,1,3,13.94,66,26.0027,28.0,00,0
2,0,1,2,13.94,71,26.0027,20.0,01,0
2,0,1,2,13.94,71,22.0028,3.0,02,0
2,0,1,2,13.94,71,22.0028,3.0,03,0
2,0,1,1,13.12,81,19.9995,7.0,05,0
2,0,1,3,13.12,76,16.9979,35.0,06,0
2,0,1,3,12.3,87,27.9993,94.0,07,0
2,0,1,2,12.3,87,27.9993,516.0,08,0
2,0,1,2,13.94,81,22.0028,141.0,09,0
2,0,1,2,15.58,76,26.0027,70.0,10,0
2,0,1,2,17.22,71,19.9995,129.0,11,0
2,0,1,2,18.04,77,16.9979,155.0,12,0
2,0,1,2,20.5,63,15.0013,282.0,13,0
2,0,1,2,22.14,64,15.0013,108.0,14,0
2,0,1,2,22.96,60,15.0013,188.0,15,0
2,0,1,2,22.14,64,19.0012,282.0,16,0
2,0,1,2,22.14,64,16.9979,767.0,17,0
2,0,1,2,21.32,72,15.0013,785.0,18,0
2,0,1,1,23.78,60,27.9993,547.0,19,0
2,0,1,1,22.96,64,12.998,331.0,20,0
2,0,1,1,18.86,94,12.998,86.0,21,0
2,0,1,1,18.86,88,15.0013,216.0,22,0
2,0,1,1,18.86,88,6.0032,53.0,23,0
2,0,1,1,18.86,88,12.998,178.0,00,1
2,0,1,1,17.22,100,8.9981,14.0,01,1
2,0,1,1,18.04,94,6.0032,8.0,02,1
2,0,1,1,18.04,82,15.0013,4.0,03,1
2,0,1,2,17.22,82,11.0014,3.0,04,1
2,0,1,2,16.4,87,8.9981,10.0,05,1
2,0,1,1,16.4,87,16.9979,55.0,06,1
2,0,1,2,16.4,76,7.0015,548.0,07,1
2,0,1,2,16.4,58,19.9995,338.0,08,1
2,0,1,2,16.4,58,31.0009,188.0,09,1
2,0,1,2,18.04,54,19.9995,142.0,10,1
2,0,1,1,18.04,51,22.0028,210.0,11,1
2,0,1,1,18.86,47,16.9979,282.0,12,1
2,0,1,1,20.5,45,15.0013,282.0,13,1
2,0,1,1,20.5,42,22.0028,108.0,14,1
2,0,1,1,20.5,42,15.0013,130.0,15,1
2,0,1,1,20.5,42,7.0015,403.0,16,1
2,0,1,1,20.5,42,7.0015,599.0,17,1
2,0,1,1,19.68,44,6.0032,238.0,18,1
2,0,1,2,18.04,54,16.9979,169.0,19,1
2,0,1,2,18.04,54,23.9994,169.0,20,1
2,0,1,2,17.22,54,19.0012,103.0,21,1
2,0,1,2,16.4,58,16.9979,182.0,22,1
2,0,1,2,16.4,58,16.9979,99.0,23,1
2,0,1,3,14.76,71,15.0013,28.0,00,2
2,0,1,3,13.94,76,15.0013,20.0,01,2
2,0,1,3,13.94,76,15.0013,2.0,02,2
2,0,1,2,13.94,76,16.9979,3.0,03,2
2,0,1,3,13.12,87,12.998,10.0,05,2
2,0,1,2,13.94,87,16.9979,36.0,06,2
2,0,1,2,13.12,93,15.0013,71.0,07,2
2,0,1,2,13.12,87,12.998,509.0,08,2
2,0,1,2,13.12,81,16.9979,186.0,09,2
2,0,1,2,13.94,81,19.0012,69.0,10,2
2,0,1,2,13.94,87,12.998,76.0,11,2
2,0,1,2,13.94,87,15.0013,80.0,12,2
2,0,1,3,13.94,87,8.9981,16.0,13,2
2,0,1,2,14.76,87,7.0015,80.0,14,2
2,0,1,2,15.58,82,15.0013,107.0,15,2
2,0,1,2,16.4,76,15.0013,229.0,16,2
2,0,1,2,16.4,76,15.0013,506.0,17,2
2,0,1,3,15.58,82,16.9979,225.0,18,2
2,0,1,3,15.58,82,16.9979,80.0,19,2
2,0,1,3,14.76,87,43.0006,290.0,20,2
2,0,1,3,13.12,100,27.9993,30.0,21,2
2,0,1,2,13.12,93,11.0014,22.0,22,2
2,0,1,2,13.12,93,15.0013,22.0,00,3
2,0,1,2,12.3,100,15.0013,5.0,01,3
2,0,1,2,12.3,100,16.9979,5.0,02,3
2,0,1,2,11.48,100,12.998,5.0,03,3
2,0,1,2,11.48,100,12.998,2.0,04,3
2,0,1,2,11.48,93,15.0013,13.0,05,3
2,0,1,2,11.48,93,15.0013,36.0,06,3
2,0,1,3,10.66,100,15.0013,71.0,07,3
2,0,1,3,10.66,100,19.9995,32.0,08,3
2,0,1,2,10.66,93,15.0013,71.0,09,3
2,0,1,2,10.66,93,22.0028,64.0,10,3
2,0,1,2,12.3,81,19.9995,90.0,11,3
2,0,1,2,12.3,70,22.0028,96.0,12,3
2,0,1,2,13.12,70,15.0013,96.0,13,3
2,0,1,2,12.3,70,8.9981,96.0,14,3
2,0,1,2,12.3,70,16.9979,96.0,15,3
2,0,1,2,12.3,65,15.0013,84.0,16,3
2,0,1,2,12.3,70,15.0013,229.0,17,3
2,0,1,2,12.3,61,19.9995,188.0,18,3
2,0,1,1,12.3,56,26.0027,119.0,19,3
2,0,1,1,11.48,61,19.0012,89.0,20,3
